lat;lng;stateName;country
38.9969;-108.1098;Colorado;USA
37.70835;-107.9584;Colorado;USA
39.16305;-107.9514;Colorado;USA
38.49833;-107.8833;Colorado;USA
40.277;-107.8708;Colorado;USA
37.75417;-107.7667;Colorado;USA
37.83905;-107.7247;Colorado;USA
38.875;-107.7084;Colorado;USA
37.70338;-107.7015;Colorado;USA
38.48959;-107.7;Colorado;USA
38.90833;-107.575;Colorado;USA
37.33815;-107.501;Colorado;USA
37.38334;-107.4667;Colorado;USA
40.00385;-107.4381;Colorado;USA
37.89225;-107.1971;Colorado;USA
38.02372;-107.193;Colorado;USA
37.19583;-107.1771;Colorado;USA
39.3375;-107.0671;Colorado;USA
39.37357;-107.0596;Colorado;USA
39.1084;-107.0153;Colorado;USA
37.025;-106.8583;Colorado;USA
39.6632;-106.8085;Colorado;USA
40.4805;-106.7682;Colorado;USA
39.01577;-106.7522;Colorado;USA
40.55415;-106.7084;Colorado;USA
39.879;-106.6735;Colorado;USA
40.4521;-106.6535;Colorado;USA
38.59998;-106.6417;Colorado;USA
39.45824;-106.625;Colorado;USA
39.4627;-106.6035;Colorado;USA
39.1006;-106.5445;Colorado;USA
37.2362;-106.541;Colorado;USA
37.32255;-106.5123;Colorado;USA
37.37285;-106.496;Colorado;USA
37.30833;-106.4917;Colorado;USA
37.26505;-106.4745;Colorado;USA
39.0917;-106.4417;Colorado;USA
39.18975;-106.4269;Colorado;USA
39.15735;-106.4213;Colorado;USA
39.26944;-106.3833;Colorado;USA
37.1137;-106.3681;Colorado;USA
39.225;-106.3625;Colorado;USA
38.60124;-106.3466;Colorado;USA
37.3199;-106.3325;Colorado;USA
39.80777;-106.3023;Colorado;USA
39.25;-106.3;Colorado;USA
39.24998;-106.2583;Colorado;USA
38.71954;-106.2384;Colorado;USA
39.32385;-106.2275;Colorado;USA
38.83714;-106.199;Colorado;USA
39.3045;-106.171;Colorado;USA
39.7198;-106.1666;Colorado;USA
39.41087;-106.1444;Colorado;USA
39.29325;-106.1215;Colorado;USA
